-0.78241,-0.48923,0.045056,0.84234,-0.88336,-0.0019578,0.072109,0.0021914,16.077,-4.995,9.7596,1.3224,0
-0.78276,-0.48828,0.043657,0.84382,-0.88545,-0.0021654,0.073017,0.0023486,16.122,-4.9696,9.7985,1.3535,0
-0.783,-0.48739,0.042471,0.84499,-0.88741,-0.0023833,0.073772,0.002505,16.159,-4.9451,9.8319,1.3819,0
-0.78312,-0.48656,0.041484,0.84587,-0.88924,-0.0026114,0.074384,0.0026602,16.189,-4.9214,9.8604,1.4076,0
-0.78314,-0.48578,0.040684,0.84647,-0.89097,-0.0028498,0.074859,0.0028137,16.213,-4.8984,9.8841,1.4308,0
-0.78306,-0.48505,0.040059,0.84681,-0.89259,-0.0030985,0.075206,0.0029652,16.231,-4.8762,9.9034,1.4518,0
-0.78289,-0.48437,0.039598,0.84692,-0.89411,-0.0033573,0.075432,0.0031142,16.244,-4.8546,9.9186,1.4706,0
-0.78263,-0.48374,0.03929,0.84681,-0.89554,-0.003626,0.075543,0.0032604,16.251,-4.8336,9.9299,1.4874,0
-0.78229,-0.48314,0.039124,0.84648,-0.89689,-0.0039045,0.075546,0.0034033,16.253,-4.8131,9.9376,1.5024,0
-0.78188,-0.48258,0.03909,0.84597,-0.89815,-0.0041923,0.075447,0.0035428,16.251,-4.7931,9.942,1.5157,0
-0.78139,-0.48205,0.03918,0.84527,-0.89934,-0.0044891,0.075251,0.0036784,16.244,-4.7734,9.9434,1.5275,0
-0.78084,-0.48156,0.039385,0.8444,-0.90047,-0.0047942,0.074963,0.00381,16.234,-4.7541,9.9418,1.5378,0
-0.78023,-0.48109,0.039695,0.84338,-0.90153,-0.0051072,0.074589,0.0039371,16.22,-4.7351,9.9376,1.5469,0
-0.77955,-0.48064,0.040102,0.84221,-0.90254,-0.0054273,0.074133,0.0040597,16.202,-4.7163,9.931,1.5548,0
-0.77883,-0.48021,0.0406,0.84091,-0.90349,-0.0057537,0.0736,0.0041774,16.181,-4.6976,9.9222,1.5617,0
-0.77805,-0.47981,0.04118,0.83949,-0.9044,-0.0060856,0.072993,0.0042901,16.158,-4.679,9.9113,1.5677,0
-0.77722,-0.47941,0.041836,0.83795,-0.90526,-0.006422,0.072317,0.0043977,16.132,-4.6605,9.8986,1.5728,0
-0.77635,-0.47903,0.04256,0.83631,-0.90608,-0.0067618,0.071575,0.0044999,16.103,-4.6419,9.8842,1.5772,0
-0.77543,-0.47866,0.043348,0.83457,-0.90688,-0.0071041,0.07077,0.0045966,16.073,-4.6233,9.8682,1.581,0
-0.77448,-0.4783,0.044192,0.83274,-0.90764,-0.0074476,0.069906,0.0046878,16.04,-4.6046,9.8509,1.5843,0
-0.77349,-0.47795,0.045088,0.83084,-0.90837,-0.007791,0.068985,0.0047733,16.005,-4.5857,9.8324,1.5872,0
-0.77247,-0.4776,0.046029,0.82886,-0.90909,-0.0081332,0.06801,0.0048531,15.969,-4.5666,9.8128,1.5897,0
-0.77141,-0.47725,0.047012,0.82682,-0.90978,-0.0084727,0.066984,0.0049272,15.931,-4.5473,9.7922,1.5919,0
-0.77033,-0.4769,0.04803,0.82471,-0.91046,-0.0088083,0.065908,0.0049954,15.892,-4.5276,9.7708,1.594,0
-0.76922,-0.47655,0.049081,0.82256,-0.91113,-0.0091387,0.064786,0.0050578,15.852,-4.5077,9.7487,1.5959,0
-0.76808,-0.47619,0.050158,0.82035,-0.91179,-0.0094624,0.063619,0.0051143,15.811,-4.4874,9.726,1.5977,0
-0.76693,-0.47584,0.05126,0.81811,-0.91244,-0.0097781,0.062408,0.0051651,15.769,-4.4668,9.7028,1.5996,0
-0.76575,-0.47547,0.052381,0.81583,-0.91309,-0.010085,0.061157,0.00521,15.727,-4.4458,9.6792,1.6015,0
-0.76455,-0.4751,0.053518,0.81352,-0.91374,-0.01038,0.059865,0.0052492,15.683,-4.4243,9.6553,1.6035,0
-0.76333,-0.47472,0.054668,0.81118,-0.9144,-0.010665,0.058536,0.0052828,15.639,-4.4024,9.6312,1.6057,0
-0.7621,-0.47433,0.055828,0.80882,-0.91505,-0.010936,0.05717,0.0053107,15.595,-4.38,9.6069,1.6081,0
-0.76085,-0.47393,0.056996,0.80644,-0.91572,-0.011193,0.055768,0.0053331,15.55,-4.3572,9.5826,1.6107,0
